Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,07/10/2022 08:45,AAMI Park,Melbourne City FC,Western United FC,2 - 1
2,1,08/10/2022 06:00,Suncorp Stadium,Brisbane Roar FC,Macarthur FC,0 - 0
3,1,08/10/2022 06:00,Central Coast Stadium,Central Coast Mariners,Newcastle Jets,
4,1,08/10/2022 08:45,Allianz Stadium,Sydney FC,Melbourne Victory,2 - 3
5,1,09/10/2022 02:00,Sky Stadium,Wellington Phoenix,Adelaide United,1 - 1
6,1,09/10/2022 04:00,CommBank Stadium,Western Sydney Wanderers FC,Perth Glory,1 - 0
7,2,14/10/2022 08:45,Suncorp Stadium,Brisbane Roar FC,Melbourne City FC,
8,2,15/10/2022 06:00,McDonald Jones Stadium,Newcastle Jets,Perth Glory,
9,2,15/10/2022 08:45,AAMI Park,Melbourne Victory,Western Sydney Wanderers FC,
10,2,16/10/2022 02:00,Sky Stadium,Wellington Phoenix,Central Coast Mariners,
11,2,16/10/2022 04:00,Campbelltown Stadium,Macarthur FC,Adelaide United,
12,2,16/10/2022 06:00,AAMI Park,Western United FC,Sydney FC,
13,3,21/10/2022 08:45,AAMI Park,Western United FC,Macarthur FC,
14,3,22/10/2022 06:00,CommBank Stadium,Western Sydney Wanderers FC,Brisbane Roar FC,
15,3,22/10/2022 06:00,McDonald Jones Stadium,Newcastle Jets,Wellington Phoenix,
16,3,22/10/2022 08:45,AAMI Park,Melbourne Victory,Melbourne City FC,
17,3,23/10/2022 04:00,Allianz Stadium,Sydney FC,Adelaide United,
101,3,23/10/2022 06:00,Central Coast Stadium,Central Coast Mariners,Perth Glory,
19,4,28/10/2022 08:45,CommBank Stadium,Western Sydney Wanderers FC,Newcastle Jets,
20,4,29/10/2022 04:00,Moreton Daily Stadium,Brisbane Roar FC,Melbourne Victory,
21,4,29/10/2022 06:15,Glen Willow Regional Sporting Complex,Central Coast Mariners,Western United FC,
22,4,29/10/2022 08:45,Campbelltown Stadium,Macarthur FC,Sydney FC,
23,4,30/10/2022 04:00,Coopers Stadium,Adelaide United,Perth Glory,
24,4,30/10/2022 06:00,AAMI Park,Melbourne City FC,Wellington Phoenix,
25,5,04/11/2022 08:45,AAMI Park,Melbourne Victory,Newcastle Jets,
26,5,05/11/2022 06:00,AAMI Park,Melbourne City FC,Perth Glory,
27,5,05/11/2022 08:45,CommBank Stadium,Western Sydney Wanderers FC,Central Coast Mariners,
28,5,06/11/2022 02:00,Sky Stadium,Wellington Phoenix,Macarthur FC,
29,5,06/11/2022 04:00,Moreton Daily Stadium,Brisbane Roar FC,Sydney FC,
30,5,06/11/2022 06:00,AAMI Park,Western United FC,Adelaide United,
31,6,11/11/2022 08:45,Coopers Stadium,Adelaide United,Melbourne Victory,
32,6,12/11/2022 06:00,McDonald Jones Stadium,Newcastle Jets,Melbourne City FC,
33,6,12/11/2022 08:45,Allianz Stadium,Sydney FC,Western Sydney Wanderers FC,
36,6,13/11/2022 00:00,Macedonia Park,Perth Glory,Brisbane Roar FC,
34,6,13/11/2022 02:00,Sky Stadium,Wellington Phoenix,Western United FC,
35,6,13/11/2022 04:00,Central Coast Stadium,Central Coast Mariners,Macarthur FC,
37,7,09/12/2022 08:45,Moreton Daily Stadium,Brisbane Roar FC,Adelaide United,
39,7,10/12/2022 06:00,WIN Stadium,Wellington Phoenix,Western Sydney Wanderers FC,
