Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,19/11/2022 04:00,McKellar Park,Canberra United,Perth Glory,
2,1,19/11/2022 04:00,Perry Park,Brisbane Roar,Newcastle Jets,
3,1,19/11/2022 04:00,City Vista Recreation Reserve Pitch 1,Western United,Melbourne Victory,
4,1,20/11/2022 02:00,Sky Stadium,Wellington Phoenix,Melbourne City,
5,1,20/11/2022 05:00,ServiceFM Stadium,Adelaide United,Sydney,
6,2,26/11/2022 02:00,Sky Stadium,Wellington Phoenix,Western United,
7,2,26/11/2022 04:00,TBA,Sydney,Melbourne Victory,
8,2,26/11/2022 04:00,Perry Park,Brisbane Roar,Canberra United,
9,2,26/11/2022 04:00,TBA,Newcastle Jets,Western Sydney Wanderers,
10,2,27/11/2022 08:00,Macedonia Park,Perth Glory,Adelaide United,
11,3,03/12/2022 04:00,No.2 Sportsground,Newcastle Jets,Perth Glory,
12,3,03/12/2022 04:00,Marconi Stadium,Western Sydney Wanderers,Sydney,
13,3,03/12/2022 04:00,Casey Fields,Melbourne City,Brisbane Roar,
14,3,04/12/2022 05:00,TBA,Melbourne Victory,Wellington Phoenix,
15,3,04/12/2022 05:00,ServiceFM Stadium,Adelaide United,Western United,
16,4,10/12/2022 04:00,McKellar Park,Canberra United,Wellington Phoenix,
17,4,10/12/2022 04:00,Casey Fields,Melbourne City,Newcastle Jets,
18,4,10/12/2022 06:10,Allianz Stadium,Sydney,Brisbane Roar,
19,4,11/12/2022 05:00,Wanderers Football Park,Western Sydney Wanderers,Adelaide United,
20,4,11/12/2022 08:00,Macedonia Park,Perth Glory,Melbourne Victory,
21,5,17/12/2022 04:00,Perry Park,Brisbane Roar,Western Sydney Wanderers,
22,5,17/12/2022 04:35,Sky Stadium,Wellington Phoenix,Adelaide United,
23,5,17/12/2022 06:10,AAMI Park,Melbourne City,Western United,
24,5,18/12/2022 05:00,TBA,Melbourne Victory,Newcastle Jets,
25,5,18/12/2022 08:00,Macedonia Park,Perth Glory,Canberra United,
26,6,23/12/2022 07:00,No.2 Sportsground,Newcastle Jets,Brisbane Roar,
27,6,23/12/2022 07:00,Seiffert Oval,Canberra United,Melbourne City,
28,6,24/12/2022 03:25,Allianz Stadium,Sydney,Western Sydney Wanderers,
29,7,27/12/2022 03:25,AAMI Park,Melbourne City,Perth Glory,
30,7,27/12/2022 06:10,Coopers Stadium,Adelaide United,Wellington Phoenix,
31,7,28/12/2022 06:00,City Vista Recreation Reserve Pitch 1,Western United,Newcastle Jets,
32,8,31/12/2022 04:00,CB Smith Reserve,Melbourne Victory,Canberra United,
33,8,31/12/2022 04:00,Perry Park,Brisbane Roar,Sydney,
34,8,31/12/2022 04:00,No.2 Sportsground,Newcastle Jets,Adelaide United,
35,8,01/01/2023 08:00,Macedonia Park,Perth Glory,Western United,
36,8,01/01/2023 23:25,Sky Stadium,Wellington Phoenix,Western Sydney Wanderers,
37,9,06/01/2023 06:10,AAMI Park,Melbourne Victory,Perth Glory,
38,9,07/01/2023 04:00,City Vista Recreation Reserve Pitch 1,Western United,Wellington Phoenix,
39,9,07/01/2023 04:00,No.2 Sportsground,Newcastle Jets,Sydney,
40,9,07/01/2023 05:00,ServiceFM Stadium,Adelaide United,Canberra United,
41,9,08/01/2023 05:00,Wanderers Football Park,Western Sydney Wanderers,Melbourne City,
42,10,11/01/2023 08:00,Leichhardt Oval,Sydney,Western United,
43,10,11/01/2023 08:00,ServiceFM Stadium,Adelaide United,Melbourne City,
44,10,14/01/2023 04:00,McKellar Park,Canberra United,Newcastle Jets,
45,10,14/01/2023 04:00,Wanderers Football Park,Western Sydney Wanderers,Western United,
46,10,14/01/2023 04:00,Casey Fields,Melbourne City,Melbourne Victory,
47,10,15/01/2023 05:00,Perry Park,Brisbane Roar,Adelaide United,
48,10,15/01/2023 08:00,Macedonia Park,Perth Glory,Wellington Phoenix,
49,11,18/01/2023 07:00,Wanderers Football Park,Western Sydney Wanderers,Melbourne Victory,
50,11,21/01/2023 03:25,TBA,Western United,Brisbane Roar,
51,11,21/01/2023 04:00,Leichhardt Oval,Sydney,Perth Glory,
52,11,21/01/2023 04:00,Casey Fields,Melbourne City,Western Sydney Wanderers,
53,11,21/01/2023 05:00,ServiceFM Stadium,Adelaide United,Melbourne Victory,
54,11,21/01/2023 23:25,Sky Stadium,Wellington Phoenix,Canberra United,
55,12,26/01/2023 05:10,AAMI Park,Melbourne Victory,Sydney,
56,12,28/01/2023 04:00,McKellar Park,Canberra United,Western United,
57,12,28/01/2023 04:00,Perry Park,Brisbane Roar,Wellington Phoenix,
58,12,28/01/2023 04:00,Wanderers Football Park,Western Sydney Wanderers,Newcastle Jets,
59,12,29/01/2023 06:35,AAMI Park,Melbourne City,Adelaide United,
60,13,04/02/2023 03:25,Allianz Stadium,Sydney,Melbourne City,
61,13,04/02/2023 04:00,No.2 Sportsground,Newcastle Jets,Canberra United,
62,13,04/02/2023 04:00,CB Smith Reserve,Melbourne Victory,Western Sydney Wanderers,
63,13,04/02/2023 04:00,Morshead Park Stadium,Western United,Perth Glory,
64,13,05/02/2023 05:00,ServiceFM Stadium,Adelaide United,Brisbane Roar,
65,14,11/02/2023 03:25,TBA,Western United,Melbourne City,
66,14,11/02/2023 04:00,Perry Park,Brisbane Roar,Melbourne Victory,
67,14,11/02/2023 04:00,McKellar Park,Canberra United,Sydney,
68,14,12/02/2023 04:00,Wanderers Football Park,Western Sydney Wanderers,Wellington Phoenix,
69,14,12/02/2023 08:00,Macedonia Park,Perth Glory,Newcastle Jets,
70,15,25/02/2023 04:00,TBA,Wellington Phoenix,Sydney,
71,15,25/02/2023 04:00,McKellar Park,Canberra United,Western Sydney Wanderers,
72,15,25/02/2023 08:00,Macedonia Park,Perth Glory,Brisbane Roar,
73,15,26/02/2023 05:00,No.2 Sportsground,Newcastle Jets,Western United,
74,15,26/02/2023 06:35,AAMI Park,Melbourne Victory,Adelaide United,
75,16,04/03/2023 04:00,McKellar Park,Canberra United,Adelaide United,
76,16,04/03/2023 04:00,No.2 Sportsground,Newcastle Jets,Melbourne City,
77,16,04/03/2023 04:35,TBA,Wellington Phoenix,Brisbane Roar,
78,16,05/03/2023 05:00,Morshead Park Stadium,Western United,Sydney,
79,16,05/03/2023 08:00,Macedonia Park,Perth Glory,Western Sydney Wanderers,
80,17,11/03/2023 04:00,Netstrata Jubilee Stadium,Sydney,Wellington Phoenix,
81,17,11/03/2023 04:00,ServiceFM Stadium,Adelaide United,Perth Glory,
82,17,11/03/2023 04:00,Perry Park,Brisbane Roar,Western United,
83,17,12/03/2023 05:00,Wanderers Football Park,Western Sydney Wanderers,Canberra United,
84,17,13/03/2023 04:25,AAMI Park,Melbourne Victory,Melbourne City,
85,18,17/03/2023 06:10,Coopers Stadium,Adelaide United,Newcastle Jets,
86,18,18/03/2023 04:00,McKellar Park,Canberra United,Melbourne Victory,
87,18,18/03/2023 04:00,Sky Stadium,Wellington Phoenix,Perth Glory,
88,18,18/03/2023 04:00,Casey Fields,Melbourne City,Sydney,
89,18,19/03/2023 05:00,Wanderers Football Park,Western Sydney Wanderers,Brisbane Roar,
90,19,25/03/2023 04:00,Netstrata Jubilee Stadium,Sydney,Adelaide United,
91,19,25/03/2023 04:00,City Vista Recreation Reserve Pitch 1,Western United,Canberra United,
92,19,25/03/2023 04:00,No.2 Sportsground,Newcastle Jets,Wellington Phoenix,
93,19,26/03/2023 05:00,CB Smith Reserve,Melbourne Victory,Brisbane Roar,
94,19,26/03/2023 07:00,Macedonia Park,Perth Glory,Melbourne City,
95,20,31/03/2023 23:25,Sky Stadium,Wellington Phoenix,Melbourne Victory,
96,20,01/04/2023 04:00,Perry Park,Brisbane Roar,Perth Glory,
97,20,01/04/2023 04:00,City Vista Recreation Reserve Pitch 1,Western United,Western Sydney Wanderers,
98,20,01/04/2023 06:10,Allianz Stadium,Sydney,Newcastle Jets,
99,20,02/04/2023 06:35,AAMI Park,Melbourne City,Canberra United,
