Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,06/09/2022 16:45,Stadion Maksimir,Dinamo Zagreb,Chelsea,Group E,1 - 0
2,1,06/09/2022 16:45,BVB Stadion Dortmund,Dortmund,Copenhagen,Group G,3 - 0
3,1,06/09/2022 19:00,Stadion Salzburg,Salzburg,Milan,Group E,1 - 1
4,1,06/09/2022 19:00,Celtic Park,Celtic,Real Madrid,Group F,0 - 3
5,1,06/09/2022 19:00,RB Arena,Leipzig,Shakhtar Donetsk,Group F,1 - 4
6,1,06/09/2022 19:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Man City,Group G,0 - 4
7,1,06/09/2022 19:00,Parc des Princes,Paris,Juventus,Group H,2 - 1
8,1,06/09/2022 19:00,Estádio do SL Benfica,Benfica,M. Haifa,Group H,2 - 0
9,1,07/09/2022 16:45,Johan Cruijff ArenA,Ajax,Rangers,Group A,4 - 0
10,1,07/09/2022 16:45,Frankfurt stadion,Frankfurt,Sporting CP,Group D,0 - 3
11,1,07/09/2022 19:00,Stadio Diego Armando Maradona,Napoli,Liverpool,Group A,4 - 1
12,1,07/09/2022 19:00,Estadio Metropolitano,Atlético,Porto,Group B,2 - 1
13,1,07/09/2022 19:00,Jan Breydelstadion,Club Brugge,Leverkusen,Group B,1 - 0
14,1,07/09/2022 19:00,Camp Nou,Barcelona,Plzen,Group C,5 - 1
15,1,07/09/2022 19:00,Stadio San Siro,Inter,Bayern,Group C,0 - 2
16,1,07/09/2022 19:00,Tottenham Hotspur Stadium,Tottenham,Marseille,Group D,2 - 0
17,2,13/09/2022 16:45,Stadion mesta Plzne,Plzen,Inter,Group C,0 - 2
18,2,13/09/2022 16:45,Estádio José Alvalade,Sporting CP,Tottenham,Group D,2 - 0
19,2,13/09/2022 19:00,Anfield,Liverpool,Ajax,Group A,2 - 1
21,2,13/09/2022 19:00,Estádio do Dragão,Porto,Club Brugge,Group B,0 - 4
22,2,13/09/2022 19:00,BayArena,Leverkusen,Atlético,Group B,2 - 0
23,2,13/09/2022 19:00,Fußball Arena München,Bayern,Barcelona,Group C,2 - 0
24,2,13/09/2022 19:00,Stade de Marseille,Marseille,Frankfurt,Group D,0 - 1
25,2,14/09/2022 16:45,Stadio San Siro,Milan,Dinamo Zagreb,Group E,3 - 1
26,2,14/09/2022 16:45,Municipal Stadium of Legia Warszawa,Shakhtar Donetsk,Celtic,Group F,1 - 1
20,2,14/09/2022 19:00,Ibrox Stadium,Rangers,Napoli,Group A,0 - 3
27,2,14/09/2022 19:00,Stamford Bridge,Chelsea,Salzburg,Group E,1 - 1
28,2,14/09/2022 19:00,Estadio Santiago Bernabéu,Real Madrid,Leipzig,Group F,2 - 0
29,2,14/09/2022 19:00,City of Manchester Stadium,Man City,Dortmund,Group G,2 - 1
30,2,14/09/2022 19:00,Parken,Copenhagen,Sevilla,Group G,0 - 0
31,2,14/09/2022 19:00,Juventus Stadium,Juventus,Benfica,Group H,1 - 2
32,2,14/09/2022 19:00,Sammy Ofer Stadium,M. Haifa,Paris,Group H,1 - 3
33,3,04/10/2022 16:45,Fußball Arena München,Bayern,Plzen,Group C,5 - 0
34,3,04/10/2022 16:45,Stade de Marseille,Marseille,Sporting CP,Group D,4 - 1
35,3,04/10/2022 19:00,Anfield,Liverpool,Rangers,Group A,2 - 0
36,3,04/10/2022 19:00,Johan Cruijff ArenA,Ajax,Napoli,Group A,1 - 6
37,3,04/10/2022 19:00,Estádio do Dragão,Porto,Leverkusen,Group B,2 - 0
38,3,04/10/2022 19:00,Jan Breydelstadion,Club Brugge,Atlético,Group B,2 - 0
39,3,04/10/2022 19:00,Stadio San Siro,Inter,Barcelona,Group C,1 - 0
40,3,04/10/2022 19:00,Frankfurt stadion,Frankfurt,Tottenham,Group D,0 - 0
41,3,05/10/2022 16:45,Stadion Salzburg,Salzburg,Dinamo Zagreb,Group E,1 - 0
42,3,05/10/2022 16:45,RB Arena,Leipzig,Celtic,Group F,3 - 1
43,3,05/10/2022 19:00,Stamford Bridge,Chelsea,Milan,Group E,3 - 0
44,3,05/10/2022 19:00,Estadio Santiago Bernabéu,Real Madrid,Shakhtar Donetsk,Group F,2 - 1
45,3,05/10/2022 19:00,City of Manchester Stadium,Man City,Copenhagen,Group G,5 - 0
46,3,05/10/2022 19:00,Estadio Ramón Sánchez-Pizjuán,Sevilla,Dortmund,Group G,1 - 4
47,3,05/10/2022 19:00,Juventus Stadium,Juventus,M. Haifa,Group H,3 - 1
48,3,05/10/2022 19:00,Estádio do SL Benfica,Benfica,Paris,Group H,1 - 1
49,4,11/10/2022 16:45,Parken,Copenhagen,Man City,Group G,0 - 0
50,4,11/10/2022 16:45,Sammy Ofer Stadium,M. Haifa,Juventus,Group H,2 - 0
51,4,11/10/2022 19:00,Stadion Maksimir,Dinamo Zagreb,Salzburg,Group E,1 - 1
52,4,11/10/2022 19:00,Stadio San Siro,Milan,Chelsea,Group E,0 - 2
53,4,11/10/2022 19:00,Municipal Stadium of Legia Warszawa,Shakhtar Donetsk,Real Madrid,Group F,1 - 1
54,4,11/10/2022 19:00,Celtic Park,Celtic,Leipzig,Group F,0 - 2
