Match Number,Round Number,Date,Location,Home Team,Away Team,Result
7,1,05/08/2022 21:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Trabzonspor,0 - 2
1,1,06/08/2022 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Gaziantep,1 - 1
4,1,06/08/2022 21:45,Vodafone Park,Besiktas,Kayserispor,1 - 0
3,1,07/08/2022 16:00,Atatürk Olympic Stadium,Fatih Karagümrük,Alanyaspor,2 - 4
9,1,07/08/2022 19:15,Çotanak Sports Complex,Giresunspor,Adana Demirspor,2 - 3
2,1,07/08/2022 21:45,Antalya Stadium,Antalyaspor,Galatasaray,0 - 1
6,1,08/08/2022 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kasimpasa,4 - 0
5,1,08/08/2022 21:45,Eryaman Stadium,Ankaragücü,Konyaspor,0 - 0
8,1,08/08/2022 21:45,Sükrü Saracoglu Stadium,Fenerbahçe,Ümraniyespor,3 - 3
13,2,12/08/2022 21:00,Senol Günes Sports Complex,Trabzonspor,Hatayspor,1 - 0
18,2,13/08/2022 19:15,Kadir Has Stadium,Kayserispor,Istanbulspor,1 - 0
12,2,13/08/2022 21:45,Nef Stadium,Galatasaray,Giresunspor,0 - 1
15,2,13/08/2022 21:45,New Adana Stadium,Adana Demirspor,Sivasspor,3 - 0
11,2,14/08/2022 19:15,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Antalyaspor,0 - 1
14,2,14/08/2022 19:15,Gaziantep Stadium,Gaziantep,Ankaragücü,1 - 0
10,2,14/08/2022 21:45,Bahçesehir Okullari Stadium,Alanyaspor,Besiktas,3 - 3
17,2,15/08/2022 19:15,Konya Metropolitan Municipality Stadium,Konyaspor,Istanbul Basaksehir,0 - 0
16,2,15/08/2022 21:45,Recep Tayyip Erdogan Stadium,Kasimpasa,Fenerbahçe,0 - 6
21,3,19/08/2022 21:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Galatasaray,0 - 1
26,3,20/08/2022 19:15,Çotanak Sports Complex,Giresunspor,Kasimpasa,1 - 0
27,3,20/08/2022 19:15,New Hatay Stadium,Hatayspor,Gaziantep,1 - 2
20,3,20/08/2022 21:45,Antalya Stadium,Antalyaspor,Trabzonspor,5 - 2
23,3,21/08/2022 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,2 - 0
22,3,21/08/2022 21:45,Vodafone Park,Besiktas,Fatih Karagümrük,4 - 1
19,3,22/08/2022 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Alanyaspor,1 - 1
24,3,22/08/2022 19:15,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Konyaspor,0 - 4
25,3,22/08/2022 21:45,Sükrü Saracoglu Stadium,Fenerbahçe,Adana Demirspor,4 - 2
32,4,26/08/2022 21:00,Gaziantep Stadium,Gaziantep,Antalyaspor,5 - 2
29,4,27/08/2022 19:15,Atatürk Olympic Stadium,Fatih Karagümrük,Ankaragücü,4 - 1
28,4,27/08/2022 21:45,Bahçesehir Okullari Stadium,Alanyaspor,Istanbulspor,0 - 1
33,4,27/08/2022 21:45,New Adana Stadium,Adana Demirspor,Ümraniyespor,1 - 0
34,4,28/08/2022 19:15,Recep Tayyip Erdogan Stadium,Kasimpasa,Hatayspor,1 - 0
36,4,28/08/2022 19:15,Kadir Has Stadium,Kayserispor,Giresunspor,3 - 0
31,4,28/08/2022 21:45,Senol Günes Sports Complex,Trabzonspor,Galatasaray,0 - 0
35,4,29/08/2022 19:15,Konya Metropolitan Municipality Stadium,Konyaspor,Fenerbahçe,1 - 0
30,4,29/08/2022 21:45,Vodafone Park,Besiktas,Sivasspor,3 - 1
39,5,02/09/2022 21:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Trabzonspor,0 - 1
37,5,03/09/2022 19:15,New Sivas 4 Eylül Stadium,Sivasspor,Fatih Karagümrük,0 - 0
42,5,03/09/2022 19:15,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Alanyaspor,2 - 0
43,5,03/09/2022 21:45,Sükrü Saracoglu Stadium,Fenerbahçe,Kayserispor,2 - 0
44,5,03/09/2022 21:45,Çotanak Sports Complex,Giresunspor,Konyaspor,0 - 1
45,5,04/09/2022 19:15,New Hatay Stadium,Hatayspor,Adana Demirspor,1 - 1
38,5,04/09/2022 21:45,Antalya Stadium,Antalyaspor,Kasimpasa,0 - 2
41,5,04/09/2022 21:45,Eryaman Stadium,Ankaragücü,Besiktas,2 - 3
40,5,05/09/2022 21:00,Nef Stadium,Galatasaray,Gaziantep,2 - 1
47,6,09/09/2022 20:00,Bahçesehir Okullari Stadium,Alanyaspor,Ankaragücü,2 - 1
53,6,10/09/2022 17:00,Konya Metropolitan Municipality Stadium,Konyaspor,Hatayspor,1 - 0
48,6,10/09/2022 20:00,Atatürk Olympic Stadium,Fatih Karagümrük,Giresunspor,1 - 1
46,6,11/09/2022 17:00,New Sivas 4 Eylül Stadium,Sivasspor,Istanbulspor,1 - 1
50,6,11/09/2022 20:00,Gaziantep Stadium,Gaziantep,Ümraniyespor,1 - 1
52,6,11/09/2022 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Galatasaray,2 - 3
54,6,11/09/2022 20:00,Kadir Has Stadium,Kayserispor,Antalyaspor,1 - 0
49,6,12/09/2022 19:00,Vodafone Park,Besiktas,Istanbul Basaksehir,0 - 1
51,6,12/09/2022 21:30,New Adana Stadium,Adana Demirspor,Trabzonspor,3 - 2
57,7,16/09/2022 20:00,Nef Stadium,Galatasaray,Konyaspor,2 - 1
63,7,16/09/2022 20:00,New Hatay Stadium,Hatayspor,Kayserispor,0 - 4
56,7,17/09/2022 17:00,Ümraniye Belediyesi Sehir Stadium,Ümraniyespor,Kasimpasa,1 - 2
55,7,17/09/2022 20:00,Antalya Stadium,Antalyaspor,Adana Demirspor,0 - 3
61,7,17/09/2022 20:00,Esenyurt Necmi Kadioglu Stadium,Istanbulspor,Besiktas,2 - 2
58,7,18/09/2022 17:00,Senol Günes Sports Complex,Trabzonspor,Gaziantep,3 - 2
